category,term,rule_role,specificity,keep_for_sampling,keep_for_interpretation,needs_context,notes
supply,创新,recall,broad,True,False,True,Very high coverage; aggregate intensity only.
supply,财政,recall,broad,True,False,True,Broad fiscal language.
supply,研发,recall,broad,True,True,True,Broad R&D orientation.
supply,人才,recall,broad,True,True,True,Broad talent orientation.
supply,培训,recall,broad,True,True,True,Broad training/service signal.
supply,服务平台,recall,broad,True,True,True,Broad service-platform language.
supply,公共服务,recall,broad,True,True,True,Broad public-service language.
supply,数字化,recall,broad,True,True,True,Broad digitalization support.
supply,奖励,discriminative,medium,True,True,False,
supply,补贴,discriminative,medium,True,True,False,
supply,补助,discriminative,medium,True,True,False,
supply,奖补,discriminative,medium,True,True,False,
supply,专项资金,discriminative,specific,True,True,False,
supply,资金支持,discriminative,specific,True,True,False,
supply,财政支持,discriminative,specific,True,True,False,
supply,研发补助,discriminative,specific,True,True,False,
supply,技术改造,discriminative,specific,True,True,False,
supply,设备更新,discriminative,specific,True,True,False,
supply,职业技能,discriminative,specific,True,True,False,
supply,技能提升,discriminative,specific,True,True,False,
supply,见习岗位,discriminative,specific,True,True,False,
supply,节能诊断,discriminative,specific,True,True,False,
supply,诊断服务,discriminative,specific,True,True,False,
supply,出海服务,discriminative,specific,True,True,False,
supply,孵化,discriminative,medium,True,True,False,
supply,智造空间,discriminative,specific,True,True,False,
supply,创新平台,discriminative,medium,True,True,False,
supply,基础设施,discriminative,medium,True,True,False,
supply,要素保障,discriminative,specific,True,True,False,
demand,采购,recall,broad,True,True,True,Broad procurement language; government procurement is more specific.
demand,对接,recall,broad,True,True,True,High full-text coverage; context required.
demand,场景,recall,broad,True,True,True,Can mean application scenarios or general scenes.
demand,推广应用,recall,medium,True,True,True,
demand,市场,recall,broad,True,True,True,
demand,政府采购,discriminative,specific,True,True,False,
demand,首台套,discriminative,specific,True,True,False,
demand,首批次,discriminative,specific,True,True,False,
demand,首版次,discriminative,specific,True,True,False,
demand,示范应用,discriminative,specific,True,True,False,
demand,应用场景,discriminative,specific,True,True,False,
demand,供需对接,discriminative,specific,True,True,False,
demand,市场开拓,discriminative,specific,True,True,False,
demand,产品推广,discriminative,specific,True,True,False,
demand,展会,discriminative,medium,True,True,False,
demand,参展,discriminative,medium,True,True,False,
demand,展览会,discriminative,specific,True,True,False,
demand,博览会,discriminative,specific,True,True,False,
demand,广交会,discriminative,specific,True,True,False,
demand,展位,discriminative,specific,True,True,False,
demand,走出去,discriminative,medium,True,True,False,
demand,外贸,discriminative,medium,True,True,False,
demand,出口,discriminative,medium,True,True,False,
demand,国际市场,discriminative,specific,True,True,False,
demand,产业链对接,discriminative,specific,True,True,False,
environment,融资,recall,broad,True,True,True,
environment,贷款,recall,broad,True,True,True,
environment,标准,recall,broad,True,False,True,Very high coverage; aggregate intensity only.
environment,认定,recall,broad,True,True,True,
environment,评价,recall,broad,True,True,True,
environment,产业链,recall,broad,True,True,True,
environment,供应链,recall,broad,True,True,True,
environment,银行,recall,broad,True,True,True,
environment,保险,recall,broad,True,True,True,
environment,基金,recall,broad,True,True,True,
environment,融资担保,discriminative,specific,True,True,False,
environment,担保,discriminative,medium,True,True,False,
environment,贴息,discriminative,specific,True,True,False,
environment,贷款贴息,discriminative,specific,True,True,False,
environment,税收优惠,discriminative,specific,True,True,False,
environment,税收,discriminative,medium,True,True,False,
environment,减税,discriminative,specific,True,True,False,
environment,降费,discriminative,specific,True,True,False,
environment,知识产权保护,discriminative,specific,True,True,False,
environment,知识产权,discriminative,medium,True,True,False,
environment,上市培育,discriminative,specific,True,True,False,
environment,上市,discriminative,medium,True,True,False,
environment,挂牌,discriminative,medium,True,True,False,
environment,营商环境,discriminative,specific,True,True,False,
environment,服务机制,discriminative,specific,True,True,False,
environment,信用,discriminative,medium,True,True,False,
environment,科技金融,discriminative,specific,True,True,False,
environment,绿色金融,discriminative,specific,True,True,False,
environment,绿贷,discriminative,specific,True,True,False,
environment,银企,discriminative,specific,True,True,False,
environment,风险减量,discriminative,specific,True,True,False,
environment,梯度培育,discriminative,specific,True,True,False,
environment,培育库,discriminative,specific,True,True,False,
environment,法规制度,discriminative,specific,True,True,False,
environment,标准制定,discriminative,specific,True,True,False,
environment,认定评价,discriminative,specific,True,True,False,
other,申报,other_signal,medium,True,False,True,"Procedural signal, not final other label."
other,通知,other_signal,broad,True,False,True,
other,公示,other_signal,medium,True,False,True,
other,名单,other_signal,medium,True,False,True,
other,公布,other_signal,medium,True,False,True,
other,转发,other_signal,specific,True,False,True,
other,会议,other_signal,medium,True,False,True,
other,座谈,other_signal,specific,True,False,True,
other,解读,other_signal,medium,True,False,True,
other,新闻,other_signal,medium,True,False,True,
other,工作动态,other_signal,specific,True,False,True,
other,评审,other_signal,medium,True,False,True,
other,复核,other_signal,medium,True,False,True,
other,遴选,other_signal,specific,True,False,True,
other,推荐,other_signal,medium,True,False,True,
other,通告,other_signal,medium,True,False,True,
